date,open,high,low,close
20240325,2756.59,2763.63,2731.7,2737.57
20240326,2756.42,2779.4,2752.27,2757.09
20240327,2745.0,2762.03,2745.0,2755.11
20240328,2753.22,2756.86,2742.68,2745.82
20240329,2757.27,2757.55,2739.12,2746.63
20240401,2766.24,2769.87,2747.4,2747.86
20240402,2744.15,2760.33,2737.19,2753.16
20240403,2730.68,2732.29,2706.97,2706.97
20240404,2738.24,2746.39,2727.1,2742.0
20240405,2713.96,2730.47,2705.31,2714.21
20240408,2718.76,2725.58,2706.74,2717.65
20240409,2733.23,2741.23,2703.96,2705.16
20240411,2665.4,2718.07,2661.92,2706.96
20240412,2710.89,2712.45,2678.21,2681.82
20240415,2661.36,2673.26,2641.16,2670.43
20240416,2644.17,2647.6,2601.45,2609.63
20240417,2619.15,2626.63,2584.18,2584.18
20240418,2595.46,2642.03,2593.26,2634.7
20240419,2600.69,2609.9,2553.55,2591.86
20240422,2615.72,2629.44,2604.37,2629.44
20240423,2632.15,2641.78,2619.72,2623.02
20240424,2662.84,2677.85,2662.84,2675.75
20240425,2646.8,2656.51,2628.62,2628.62
20240426,2650.94,2662.1,2641.35,2656.33
20240429,2675.46,2687.44,2665.21,2687.44
20240430,2693.22,2710.23,2687.29,2692.06
20240502,2679.04,2692.47,2678.84,2683.65
20240503,2704.31,2705.26,2676.63,2676.63
20240507,2718.17,2734.36,2716.62,2734.36
20240508,2732.11,2745.05,2727.93,2745.05
20240509,2743.29,2749.14,2710.25,2712.14
20240510,2737.95,2743.58,2723.21,2727.63
20240513,2735.2,2738.38,2713.92,2727.21
20240514,2732.98,2735.82,2722.74,2730.34
20240516,2770.27,2773.46,2748.22,2753.0
20240517,2751.47,2752.17,2724.62,2724.62
20240520,2741.24,2756.41,2734.64,2742.14
20240521,2733.03,2734.48,2719.74,2724.18
20240522,2723.46,2733.07,2707.87,2723.46
20240523,2719.03,2734.27,2704.0,2721.81
20240524,2693.65,2696.99,2681.17,2687.6
20240527,2697.16,2725.08,2693.66,2722.99
20240528,2715.52,2730.12,2714.34,2722.85
20240529,2719.56,2721.63,2677.07,2677.3
20240530,2666.63,2666.63,2635.44,2635.44
20240531,2657.87,2664.48,2635.77,2636.52
20240603,2657.81,2690.73,2657.81,2682.52
20240604,2668.73,2679.47,2659.43,2662.1
20240605,2681.11,2697.43,2667.63,2689.5
20240607,2718.25,2729.63,2705.23,2722.67
20240610,2698.71,2718.89,2689.19,2701.17
20240611,2716.72,2718.88,2702.17,2705.32
20240612,2709.65,2730.3,2707.44,2728.17
20240613,2764.18,2776.72,2752.61,2754.89
20240614,2759.22,2769.16,2750.86,2758.42
20240617,2754.83,2759.86,2741.03,2744.1
20240618,2765.7,2772.35,2759.03,2763.92
20240619,2786.16,2799.32,2786.16,2797.33
20240620,2802.1,2812.62,2796.37,2807.63
20240621,2794.87,2797.0,2777.33,2784.26
20240624,2772.85,2782.9,2758.09,2764.73
20240625,2765.76,2780.42,2765.76,2774.39
20240626,2767.43,2792.07,2762.98,2792.05
20240627,2767.62,2784.33,2761.55,2784.06
20240628,2792.79,2797.82,2782.4,2797.82
20240701,2792.96,2805.95,2783.98,2804.31
20240702,2798.65,2805.42,2776.62,2780.86
20240703,2797.14,2799.7,2774.71,2794.01
20240704,2817.06,2824.94,2808.88,2824.94
20240705,2836.21,2871.96,2836.21,2862.23
20240708,2862.58,2868.99,2855.53,2857.76
20240709,2872.63,2875.37,2854.13,2867.38
20240710,2863.05,2871.56,2858.87,2867.99
20240711,2888.76,2896.43,2879.28,2891.35
20240712,2867.75,2872.25,2844.88,2857.0
20240715,2869.15,2872.9,2848.93,2860.92
20240716,2861.71,2872.21,2857.07,2866.09
20240717,2865.9,2868.58,2841.33,2843.29
